Encantado/a de conocerte.,enchanté de vous connaître
Con mucho gusto.,Avec plaisir
"¿Cómo se dice la palabra en español?
- Se dice…","comment se dit ce mot


Ça se dit..."
"¿Qué significa? 
Quiere decir…","Comment se signifie?
Ça veut dire..."
No lo sé.,Je ne le sais pas
¿Me puedes ayudar por favor?,"Peux-tu m’aider, stp?"
Tengo una pregunta: ¿Puedes repetir?,J’ai une question: Peux-tu répéter.
No entiendo.,Je ne comprend pas
Tengo retraso.,Je suis en retard
¡Escucha!,Écoute
¿Puedo beber agua?,Puis-je boire de l’eau
¿Puedo ir al baño?,Puis-je aller au salle de bain
Me olvidé mi libro en mi casillero.,J’ai oublié mon livre dans mon casillé
Tengo una pregunta: ¿Puedo ir a la secretaria?,J’ai une question: Puis-je aller au secretaire
¡No es justo! ¡Ayúdame!,Ce n’est pas juste. Aide-moi
"¿Puedo hablar en inglés, por favor?","Puis-je parler en anglais, stp?"
¿Cómo se escribe...?,Comment écrit-t-on
Pasa a la pizarra porque yo necesito ayuda.,"Va au tableau, parce que j’ai besoin d’aide"
"Más despacio, por favor.",Plus lent stp
Cierra el ordenador y abre el libro.,Range ton ordinateur et ouvre ton livre
Silencio por favor y levantan la mano.,Silence stp et lève ta main
No te preocupes. Es una broma.,"Ne te préoccupe pas, c’est une blague."
Presta atención y trabaja con un compañero.,Faites attention et travaille avec ton coéquipier